event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,score_mag,score_z,score_attn,score_liq,score_shape,quality_score,archetype
NVDA_20251205_143500,NVDA,2025-12-05 14:35:00+00:00,-1,7,147.83712204811115,5.652056886232312,300.57446584570044,11.909680087635904,0.1462831029291751,2025-12-05 14:15:00+00:00,2025-12-05 14:35:00+00:00,2025-12-05 14:40:00+00:00,2025-12-05 15:35:00+00:00,-0.0086558876367793,0.0052718286655684,reversal,0.5860964633046809,0.7697787187603236,0.7528222695964791,0.4016191403751179,1.0,0.7112871845537985,mixed
PLTR_20251112_142500,PLTR,2025-11-12 14:25:00+00:00,-1,25,292.3684634814849,5.626056910838938,631.2109193095142,37.51685290729545,0.7919973196333109,2025-11-12 14:05:00+00:00,2025-11-12 14:25:00+00:00,2025-11-12 14:30:00+00:00,2025-11-12 15:25:00+00:00,-0.004338054669942,-0.0261417322834645,continuation,1.0,0.7791532208331873,1.0,0.8978056706461806,1.0,0.9405014947635646,info_driven
PLTR_20251202_143000,PLTR,2025-12-02 14:30:00+00:00,1,26,237.04227843622584,6.496616768349608,785.5719832735962,32.38278998320924,0.3658836346586198,2025-12-02 14:10:00+00:00,2025-12-02 14:30:00+00:00,2025-12-02 14:35:00+00:00,2025-12-02 15:30:00+00:00,0.0149572335093366,0.0010150517676401,unclear,0.9339905936766584,1.0,1.0,0.5027495085489594,0.8,0.8689100747015085,idiosyncratic
PLTR_20260108_142500,PLTR,2026-01-08 14:25:00+00:00,-1,21,249.33227395940395,7.639487862802977,253.2017296050735,16.144112589785713,0.6889305936029352,2026-01-08 14:05:00+00:00,2026-01-08 14:25:00+00:00,2026-01-08 14:30:00+00:00,2026-01-08 15:25:00+00:00,-0.0028490028490028,-0.0208625336927223,continuation,1.0,1.0,0.44235255097974513,0.8022510178358527,1.0,0.8588081628713269,info_driven
PLTR_20251106_143500,PLTR,2025-11-06 14:35:00+00:00,1,24,357.9763656788559,6.675190297770413,257.9788872040126,12.73792961923385,0.3629179722235705,2025-11-06 14:15:00+00:00,2025-11-06 14:35:00+00:00,2025-11-06 14:40:00+00:00,2025-11-06 15:35:00+00:00,0.0029248355510413,-0.0440962815246781,reversal,1.0,1.0,0.4516734855202242,0.5,1.0,0.8153346971040447,idiosyncratic
PLTR_20251029_134000,PLTR,2025-10-29 13:40:00+00:00,1,7,247.8711162255487,6.022528311538783,289.7060633484163,19.622813138442503,0.1396650682161369,2025-10-29 13:20:00+00:00,2025-10-29 13:40:00+00:00,2025-10-29 13:45:00+00:00,2025-10-29 14:40:00+00:00,0.0180666282541512,0.0109122752677903,continuation,0.9960230202743274,0.96656011721238,0.5135778556129983,0.29301900280561394,1.0,0.7889862000544996,info_driven
PLTR_20251103_210500,PLTR,2025-11-03 21:05:00+00:00,1,6,329.4789297982481,5.189598547482378,4.581393881229065,22.194019915705358,6.679665267526045,2025-11-03 20:45:00+00:00,2025-11-03 21:05:00+00:00,2025-11-03 21:10:00+00:00,2025-11-03 22:05:00+00:00,0.0321489001692048,-0.0185480093676815,reversal,1.0,0.5728450050803963,0.0,1.0,1.0,0.7145690010160792,mixed
PLTR_20251203_140000,PLTR,2025-12-03 14:00:00+00:00,-1,6,171.56717742412786,6.243767792336591,58.16450624558096,23.746892029299996,0.544635259825618,2025-12-03 13:40:00+00:00,2025-12-03 14:00:00+00:00,2025-12-03 14:05:00+00:00,2025-12-03 15:00:00+00:00,-0.0096388340494716,0.0132534005628517,reversal,0.558919928058911,1.0,0.061806346622925,0.66847272631257,1.0,0.6523621602861982,macro_spillover
QQQ_20251203_140000,QQQ,2025-12-03 14:00:00+00:00,-1,3,86.04515753380282,6.693739615356562,126.33878471732694,14.364735311488088,0.3342060059784909,2025-12-03 13:40:00+00:00,2025-12-03 14:00:00+00:00,2025-12-03 14:05:00+00:00,2025-12-03 15:00:00+00:00,-0.0052125100240577,0.0019348649738009,unclear,0.9421693082413498,1.0,0.6874377329337641,1.0,0.8,0.8830298736470903,market
QQQ_20251125_144000,QQQ,2025-11-25 14:40:00+00:00,-1,6,89.87843419226094,5.5833452982905225,111.49486692940204,8.849867304598,0.201992580059543,2025-11-25 14:20:00+00:00,2025-11-25 14:40:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 15:40:00+00:00,-0.0053675264648874,0.0046969469844602,reversal,1.0,0.8524259456417943,0.5350896187286861,0.6281153856320478,1.0,0.8217204207189033,market
QQQ_20251106_145000,QQQ,2025-11-06 14:50:00+00:00,-1,10,83.82312328411246,6.333417598876365,79.85688529910215,6.919141391628592,0.4073999872676572,2025-11-06 14:30:00+00:00,2025-11-06 14:50:00+00:00,2025-11-06 14:55:00+00:00,2025-11-06 15:50:00+00:00,-0.0035580313299954,-0.0084502035804302,continuation,0.8796242320711415,1.0,0.21037838632399009,1.0,1.0,0.8119817352825833,market
SPY_20251125_144500,SPY,2025-11-25 14:45:00+00:00,-1,2,67.89882098171107,5.475519594007964,277.8011822212118,10.407977981222906,0.1024048269043613,2025-11-25 14:25:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 14:50:00+00:00,2025-11-25 15:45:00+00:00,-0.0055631991386012,0.0074816530317611,reversal,0.5,0.8941637645882521,1.0,0.48675575446582875,1.0,0.7768461160875249,market
SPY_20251121_123000,SPY,2025-11-21 12:30:00+00:00,1,4,72.74684712396117,4.283041738985295,21.947763419483103,6.89053668041963,0.6077252114352816,2025-11-21 12:10:00+00:00,2025-11-21 12:30:00+00:00,2025-11-21 12:35:00+00:00,2025-11-21 13:30:00+00:00,0.0031779173127408,0.0029995102840352,unclear,1.0,0.394163764588252,0.02593674198181034,0.9867557544658287,0.8,0.6420334644838869,market
SPY_20251029_183500,SPY,2025-10-29 18:35:00+00:00,-1,5,68.93120051515655,4.535456472960246,12.284038167301862,13.9596050526757,2.099845648639856,2025-10-29 18:15:00+00:00,2025-10-29 18:35:00+00:00,2025-10-29 18:40:00+00:00,2025-10-29 19:35:00+00:00,-0.0065402223675604,0.002706458927657,unclear,0.8148240654765879,0.5,0.0,1.0,0.8,0.613706016369147,market
TSLA_20260106_142500,TSLA,2026-01-06 14:25:00+00:00,-1,8,193.6522111978656,6.002547108578336,368.5148307971837,18.002940810978803,0.6004104060606938,2026-01-06 14:05:00+00:00,2026-01-06 14:25:00+00:00,2026-01-06 14:30:00+00:00,2026-01-06 15:25:00+00:00,-0.0034974951217736,-0.0160920132664037,continuation,0.8915770762600133,1.0,0.8325882407550069,0.775135338174936,1.0,0.905682217942245,info_driven
TSLA_20251212_143000,TSLA,2025-12-12 14:30:00+00:00,1,12,232.3171412618641,7.084740509625522,616.9048766303896,19.947309812113826,0.1179332010677427,2025-12-12 14:10:00+00:00,2025-12-12 14:30:00+00:00,2025-12-12 14:35:00+00:00,2025-12-12 15:30:00+00:00,0.0124214840725871,-0.005288493386623,reversal,1.0,1.0,1.0,0.3192291845627234,1.0,0.8978843776844085,idiosyncratic
TSLA_20251215_143000,TSLA,2025-12-15 14:30:00+00:00,1,21,199.39370650270627,5.167015005387306,477.4437554332077,21.65225839363292,0.4695265967915811,2025-12-15 14:10:00+00:00,2025-12-15 14:30:00+00:00,2025-12-15 14:35:00+00:00,2025-12-15 15:30:00+00:00,0.0115429666702162,-0.0031159862728172,reversal,0.9329200091368801,0.7227800354102204,1.0,0.6514595801567569,1.0,0.8755049463897777,mixed
TSLA_20251120_142500,TSLA,2025-11-20 14:25:00+00:00,1,35,188.2433768049596,6.396948540435393,254.17202871576708,10.81909775460988,1.1212967717615616,2025-11-20 14:05:00+00:00,2025-11-20 14:25:00+00:00,2025-11-20 14:30:00+00:00,2025-11-20 15:25:00+00:00,0.0047995814445249,0.0312855868669093,continuation,0.8526295433656698,1.0,0.5,1.0,1.0,0.8631573858414174,info_driven
TSLA_20251124_140500,TSLA,2025-11-24 14:05:00+00:00,1,11,227.84620381243403,4.748580955947501,318.3849239864865,14.676620574486504,0.6021446110100768,2025-11-24 13:45:00+00:00,2025-11-24 14:05:00+00:00,2025-11-24 14:10:00+00:00,2025-11-24 15:05:00+00:00,0.0033143844435263,0.0341320029973537,continuation,1.0,0.5,0.6867756735283383,0.7767740367494314,1.0,0.8038712402180823,info_driven
TSLA_20260109_142500,TSLA,2026-01-09 14:25:00+00:00,-1,15,102.87307326347197,5.9587890993641,459.1764070932922,18.315666255232525,0.7742909009075389,2026-01-09 14:05:00+00:00,2026-01-09 14:25:00+00:00,2026-01-09 14:30:00+00:00,2026-01-09 15:25:00+00:00,-0.0050414374101047,0.0179398065817992,reversal,0.2379014034649407,1.0,1.0,0.9394398623544181,1.0,0.8003913302193979,mixed
TSLA_20251023_132500,TSLA,2025-10-23 13:25:00+00:00,-1,8,199.6083888147826,5.273078783886583,208.01787740333015,7.757854135125727,0.7199273220642431,2025-10-23 13:05:00+00:00,2025-10-23 13:25:00+00:00,2025-10-23 13:30:00+00:00,2025-10-23 14:25:00+00:00,-0.0073972537990688,0.0106188095238095,reversal,0.9344658775817327,0.7792498479444654,0.3657516895762818,0.8880702020460034,1.0,0.7958273072064832,mixed
TSLA_20251224_143000,TSLA,2025-12-24 14:30:00+00:00,-1,5,149.613498462311,7.296305406438304,517.9109542245502,29.18128978787784,0.0880948185061036,2025-12-24 14:10:00+00:00,2025-12-24 14:30:00+00:00,2025-12-24 14:35:00+00:00,2025-12-24 15:30:00+00:00,-0.0052652066132633,-0.0147670634757177,continuation,0.574466385065225,1.0,1.0,0.2910340655334517,1.0,0.7872717060963239,info_driven
TSLA_20251103_143000,TSLA,2025-11-03 14:30:00+00:00,1,16,259.70399207372543,6.441168878520552,216.780948632159,17.53145150582819,0.153574298221896,2025-11-03 14:10:00+00:00,2025-11-03 14:30:00+00:00,2025-11-03 14:35:00+00:00,2025-11-03 15:30:00+00:00,0.0033076753903673,0.0260591752812338,continuation,1.0,1.0,0.39124078369111526,0.35290745028370524,1.0,0.7811842742807789,info_driven
TSLA_20251203_140000,TSLA,2025-12-03 14:00:00+00:00,-1,21,102.57072372212627,4.787370737058103,609.6767145135566,18.721353221288865,0.9935821504962687,2025-12-03 13:40:00+00:00,2025-12-03 14:00:00+00:00,2025-12-03 14:05:00+00:00,2025-12-03 15:00:00+00:00,-0.0077335604299492,0.023868618218088,reversal,0.23572426734803614,0.5206522122684417,1.0,1.0,1.0,0.7130615092906973,macro_spillover
XLK_20251114_143500,XLK,2025-11-14 14:35:00+00:00,1,11,148.12177318853205,5.477518754188411,1497.0683477106834,23.387384757566377,0.0178682917780036,2025-11-14 14:15:00+00:00,2025-11-14 14:35:00+00:00,2025-11-14 14:40:00+00:00,2025-11-14 15:35:00+00:00,0.0060418665813697,0.0161090896244744,continuation,1.0,0.8129259009591079,1.0,0.2335617102917656,1.0,0.8476194367355865,market
XLK_20251125_144000,XLK,2025-11-25 14:40:00+00:00,-1,9,134.47343418840464,6.0167147421761324,382.94142259414224,26.74996310744697,0.0649395532920368,2025-11-25 14:20:00+00:00,2025-11-25 14:40:00+00:00,2025-11-25 14:45:00+00:00,2025-11-25 15:40:00+00:00,-0.0070409821267376,0.0075636363636362,reversal,0.974524833392886,1.0,0.5433514614017408,0.508483508848818,1.0,0.8285740269558923,market
XLK_20260108_143000,XLK,2026-01-08 14:30:00+00:00,-1,6,97.65219198005548,6.536619282815671,833.4585635359116,27.312274634807967,0.0221286446369152,2026-01-08 14:05:00+00:00,2026-01-08 14:30:00+00:00,2026-01-08 14:35:00+00:00,2026-01-08 15:30:00+00:00,-0.0059544179043187,-0.007435968052878,continuation,0.49115538147450977,1.0,0.9110917242219447,0.25844449084164467,1.0,0.7437738638392632,market
