event_id,ticker,announce_date,timing,surprise_pct,reaction_date,reaction_ret,reaction_dir,drift_1d,abn_drift_1d,label_1d,drift_3d,abn_drift_3d,label_3d,drift_5d,abn_drift_5d,label_5d,drift_10d,abn_drift_10d,label_10d,drift_20d,abn_drift_20d,label_20d
NFLX_2024-07-18,NFLX,2024-07-18,AMC,2.92,2024-07-19,-0.0151,-1,0.0224,0.012,reversal,0.0042,0.0183,unclear,-0.0031,0.0052,unclear,-0.0311,-0.0018,continuation,0.0643,0.0546,reversal
NFLX_2024-10-17,NFLX,2024-10-17,AMC,5.56,2024-10-18,0.1109,1,0.0107,0.0124,continuation,-0.0191,-0.0078,reversal,-0.0121,-0.0026,reversal,-0.0102,0.013,reversal,0.0786,0.0767,continuation
NFLX_2025-01-21,NFLX,2025-01-21,AMC,1.78,2025-01-22,0.0969,1,0.0324,0.0269,continuation,0.0188,0.0304,continuation,0.0253,0.033,continuation,0.0599,0.0635,continuation,0.074,0.0675,continuation
NFLX_2025-04-17,NFLX,2025-04-17,AMC,16.82,2025-04-21,0.0153,1,0.0531,0.0271,continuation,0.1103,0.0464,continuation,0.124,0.052,continuation,0.1479,0.0514,continuation,0.2062,0.0487,continuation
NFLX_2025-07-17,NFLX,2025-07-17,AMC,2.24,2025-07-18,-0.051,-1,0.0199,0.018,reversal,-0.0268,-0.0374,continuation,-0.0238,-0.0389,continuation,-0.0419,-0.0325,continuation,0.0246,-0.0007,reversal
NFLX_2025-10-21,NFLX,2025-10-21,AMC,-15.79,2025-10-22,-0.1007,-1,-0.0025,-0.0084,unclear,-0.0195,-0.0457,continuation,-0.0143,-0.0436,continuation,-0.016,-0.0307,continuation,-0.0147,-0.0069,continuation
NFLX_2026-01-20,NFLX,2026-01-20,AMC,1.43,2026-01-21,-0.0218,-1,-0.0213,-0.0265,continuation,0.004,-0.0067,unclear,-0.0084,-0.0231,unclear,-0.0609,-0.0621,continuation,-0.0979,-0.0966,continuation
NFLX_2026-04-16,NFLX,2026-04-16,AMC,-1.4,2026-04-17,-0.0972,-1,-0.0255,-0.0235,continuation,-0.0418,-0.0433,continuation,-0.05,-0.0554,continuation,-0.054,-0.0688,continuation,-0.1057,-0.1466,continuation
NVDA_2024-08-28,NVDA,2024-08-28,AMC,5.66,2024-08-29,-0.0638,-1,0.0151,0.0056,reversal,-0.0968,-0.0835,continuation,-0.1255,-0.0933,continuation,0.0129,0.0064,reversal,0.0325,0.0059,reversal
NVDA_2024-11-20,NVDA,2024-11-20,AMC,8.52,2024-11-21,0.0053,1,-0.0322,-0.0353,reversal,-0.0665,-0.0782,reversal,-0.0574,-0.0724,reversal,-0.0288,-0.0526,reversal,-0.0815,-0.0807,reversal
