event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
NVDA_20260112_143000,NVDA,2026-01-12 14:30:00+00:00,1,4,166.32602874474767,4.783188444835366,270.88613458210324,14.789669761024513,0.162851648961632,2026-01-12 14:10:00+00:00,2026-01-12 14:30:00+00:00,2026-01-12 14:35:00+00:00,2026-01-12 15:30:00+00:00,0.0099404664372713,-0.0047320317992537,reversal,0.660027908338594,top_global
NVDA_20251124_144000,NVDA,2025-11-24 14:40:00+00:00,-1,6,163.69444758566055,5.37354532161239,124.2431553266468,6.770964618240395,0.1580433928250746,2025-11-24 14:20:00+00:00,2025-11-24 14:40:00+00:00,2025-11-24 14:45:00+00:00,2025-11-24 15:40:00+00:00,-0.0064649166805996,0.0059460369103045,reversal,0.6341787068884308,top_global
PLTR_20251202_143000,PLTR,2025-12-02 14:30:00+00:00,1,26,237.04227843622584,6.496616768349608,785.5719832735962,32.38278998320924,0.3658836346586198,2025-12-02 14:10:00+00:00,2025-12-02 14:30:00+00:00,2025-12-02 14:35:00+00:00,2025-12-02 15:30:00+00:00,0.0149572335093366,0.0010150517676401,unclear,0.9908677965145631,high_strength_unclear
PLTR_20251106_143500,PLTR,2025-11-06 14:35:00+00:00,1,24,357.9763656788559,6.675190297770413,257.9788872040126,12.73792961923385,0.3629179722235705,2025-11-06 14:15:00+00:00,2025-11-06 14:35:00+00:00,2025-11-06 14:40:00+00:00,2025-11-06 15:35:00+00:00,0.0029248355510413,-0.0440962815246781,reversal,0.8799704702731532,min_quota
PLTR_20251029_134000,PLTR,2025-10-29 13:40:00+00:00,1,7,247.8711162255487,6.022528311538783,289.7060633484163,19.622813138442503,0.1396650682161369,2025-10-29 13:20:00+00:00,2025-10-29 13:40:00+00:00,2025-10-29 13:45:00+00:00,2025-10-29 14:40:00+00:00,0.0180666282541512,0.0109122752677903,continuation,0.8129183223041518,min_quota
PLTR_20260114_143000,PLTR,2026-01-14 14:30:00+00:00,1,19,221.57072785703,4.595478321466205,390.6045487894351,30.54226710357937,0.3001354281697986,2026-01-14 14:10:00+00:00,2026-01-14 14:30:00+00:00,2026-01-14 14:35:00+00:00,2026-01-14 15:30:00+00:00,0.0183676908386227,-0.0224489795918368,reversal,0.7879394539375368,min_quota
PLTR_20251218_143000,PLTR,2025-12-18 14:30:00+00:00,1,12,224.2698962202683,4.481533580363896,559.812757201646,19.949426150345285,0.133789568476824,2025-12-18 14:10:00+00:00,2025-12-18 14:30:00+00:00,2025-12-18 14:35:00+00:00,2025-12-18 15:30:00+00:00,0.0113642602250891,0.0146563890999891,continuation,0.7525046358218086,min_quota
PLTR_20251222_143500,PLTR,2025-12-22 14:35:00+00:00,1,15,170.296015568987,5.150367904835576,333.0865211440098,28.18874203903337,0.3625918634664414,2025-12-22 14:15:00+00:00,2025-12-22 14:35:00+00:00,2025-12-22 14:40:00+00:00,2025-12-22 15:35:00+00:00,0.0170326287707778,-0.0243144673123486,reversal,0.723981919290934,min_quota
PLTR_20251226_143000,PLTR,2025-12-26 14:30:00+00:00,-1,7,106.02271543191044,5.805676027798274,608.2669935368843,27.419282542615072,0.1050493000824841,2025-12-26 14:10:00+00:00,2025-12-26 14:30:00+00:00,2025-12-26 14:35:00+00:00,2025-12-26 15:30:00+00:00,-0.0037750385208011,-0.0104915835331116,continuation,0.6673203808859413,min_quota
PLTR_20251215_143000,PLTR,2025-12-15 14:30:00+00:00,1,7,156.50165486200018,4.92249504578178,527.8931708699348,19.71413498289684,0.1052115686072146,2025-12-15 14:10:00+00:00,2025-12-15 14:30:00+00:00,2025-12-15 14:35:00+00:00,2025-12-15 15:30:00+00:00,0.0104522068778771,-0.0104512809518706,reversal,0.6668051939613696,min_quota
