event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,reject_reason,strength_score
AAPL_20251016_132500,AAPL,2025-10-16 13:25:00+00:00,-1,3,115.56547639492098,5.326791844481974,1066.430788590604,19.031875118952424,0.1293819072861857,2025-10-16 13:05:00+00:00,2025-10-16 13:25:00+00:00,2025-10-16 13:30:00+00:00,2025-10-16 14:25:00+00:00,-0.007355983467526,-0.0032217792275784,continuation,out_of_rth,
AAPL_20251027_080000,AAPL,2025-10-27 08:00:00+00:00,1,3,77.16373756651463,4.62896247648791,2.4531498147167814,9.5337197264137,81.02654528105407,2025-10-24 23:40:00+00:00,2025-10-27 08:00:00+00:00,2025-10-27 08:05:00+00:00,2025-10-27 09:00:00+00:00,0.0068797749819453,-0.0013212533031331,unclear,out_of_rth,
AAPL_20251030_200500,AAPL,2025-10-30 20:05:00+00:00,1,19,475.4956977179248,5.776738940020808,5.5266388840905165,28.94603086759683,21.7004029450968,2025-10-30 19:45:00+00:00,2025-10-30 20:05:00+00:00,2025-10-30 20:10:00+00:00,2025-10-30 21:05:00+00:00,0.0043145269503106,0.0443033328439288,continuation,out_of_rth,
AAPL_20251110_142500,AAPL,2025-11-10 14:25:00+00:00,-1,8,118.5873605947907,5.478113240539298,909.9960784313726,36.12915810457327,0.384195840096015,2025-11-10 14:05:00+00:00,2025-11-10 14:25:00+00:00,2025-11-10 14:30:00+00:00,2025-11-10 15:25:00+00:00,-0.0034822553159961,0.0106208178438662,reversal,out_of_rth,
AAPL_20251113_142500,AAPL,2025-11-13 14:25:00+00:00,1,11,102.65532164600356,4.924604971197765,711.4939415538132,7.119544483458743,0.3418069480693197,2025-11-13 14:05:00+00:00,2025-11-13 14:25:00+00:00,2025-11-13 14:30:00+00:00,2025-11-13 15:25:00+00:00,0.0062385321100917,-0.0017140773158277,unclear,out_of_rth,
AAPL_20251119_142500,AAPL,2025-11-19 14:25:00+00:00,-1,9,148.77589453861083,6.506428550687235,448.02382843526607,18.20481515005378,0.0989284975005773,2025-11-19 14:05:00+00:00,2025-11-19 14:25:00+00:00,2025-11-19 14:30:00+00:00,2025-11-19 15:25:00+00:00,-0.0037523452157598,0.0239171374764595,reversal,out_of_rth,
AAPL_20251121_142000,AAPL,2025-11-21 14:20:00+00:00,-1,9,146.35208991480297,4.670801884485515,958.1401374338176,7.870571206667127,0.3991344221075169,2025-11-21 14:00:00+00:00,2025-11-21 14:20:00+00:00,2025-11-21 14:25:00+00:00,2025-11-21 15:20:00+00:00,-0.0033911273604462,0.0219722907920001,reversal,out_of_rth,
AAPL_20251124_142500,AAPL,2025-11-24 14:25:00+00:00,-1,9,133.88905281793262,4.04678257087362,1221.5486362539225,40.582736031410285,0.1020410916212173,2025-11-24 14:05:00+00:00,2025-11-24 14:25:00+00:00,2025-11-24 14:30:00+00:00,2025-11-24 15:25:00+00:00,-0.0044431388389085,0.0072845972263204,reversal,out_of_rth,
AAPL_20251128_175000,AAPL,2025-11-28 17:50:00+00:00,1,3,66.42119702549465,4.753464546749917,22.21149037037037,4.7704138947322505,0.9176146735698152,2025-11-28 17:30:00+00:00,2025-11-28 17:50:00+00:00,2025-11-28 17:55:00+00:00,2025-11-28 21:50:00+00:00,0.0054147714966428,-0.0007898894154817,unclear,window_gap_gt_10min,
AAPL_20251215_142500,AAPL,2025-12-15 14:25:00+00:00,1,6,189.4821064882235,7.517786312194485,1395.279811097993,54.83566601609327,0.1601552919471361,2025-12-15 14:05:00+00:00,2025-12-15 14:25:00+00:00,2025-12-15 14:30:00+00:00,2025-12-15 15:25:00+00:00,0.0037618228718832,-0.0215048006567442,reversal,out_of_rth,
AAPL_20251218_142500,AAPL,2025-12-18 14:25:00+00:00,1,4,205.16989349959937,5.938784998901993,1320.9143043336592,31.83551248629676,0.4337116163307928,2025-12-18 14:05:00+00:00,2025-12-18 14:25:00+00:00,2025-12-18 14:30:00+00:00,2025-12-18 15:25:00+00:00,0.00459145317217,-0.0101216793948918,reversal,out_of_rth,
AAPL_20260102_090000,AAPL,2026-01-02 09:00:00+00:00,1,3,64.68447940019884,4.813232840201636,0.0655282888000792,3.119379748691813,298.65698642001337,2026-01-01 00:35:00+00:00,2026-01-02 09:00:00+00:00,2026-01-02 09:05:00+00:00,2026-01-02 10:00:00+00:00,0.0047792360574978,-0.0004024733818741,unclear,out_of_rth,
AAPL_20260102_142500,AAPL,2026-01-02 14:25:00+00:00,-1,12,154.78238588528149,6.593306526154028,567.1317215506461,38.70727323005912,0.2594521320407392,2026-01-02 14:05:00+00:00,2026-01-02 14:25:00+00:00,2026-01-02 14:30:00+00:00,2026-01-02 15:25:00+00:00,-0.0029685553030858,0.0049255651534643,reversal,out_of_rth,
