event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
AMZN_20251029_123500,AMZN,2025-10-29 12:35:00+00:00,-1,6,207.08637336712025,6.089739253604166,99.31582162492364,21.15548426598428,0.9713081910261234,2025-10-29 12:20:00+00:00,2025-10-29 12:35:00+00:00,2025-10-29 12:40:00+00:00,2025-10-29 13:35:00+00:00,-0.0031791655779114,0.0065096771374897,reversal,0.826719137967556,min_quota
AMZN_20240719_102500,AMZN,2024-07-19 10:25:00+00:00,-1,7,211.0497237568998,6.134703561834735,20.318246660614705,15.823972771499824,3.198017850191059,2024-07-19 10:10:00+00:00,2024-07-19 10:25:00+00:00,2024-07-19 10:30:00+00:00,2024-07-19 11:25:00+00:00,-0.0048173207036534,-0.018220385075601,continuation,0.8236663084819533,min_quota
AMZN_20250730_200000,AMZN,2025-07-30 20:00:00+00:00,1,8,218.32731700951905,6.46367224685643,3.533398957002534,15.032570931371035,9.39477785062332,2025-07-30 19:45:00+00:00,2025-07-30 20:00:00+00:00,2025-07-30 20:05:00+00:00,2025-07-30 21:00:00+00:00,0.0161079669133652,0.0089974293059125,continuation,0.82261497736802,min_quota
AMZN_20240723_132500,AMZN,2024-07-23 13:25:00+00:00,1,10,154.02136775313434,6.539021832280612,515.1079958463137,19.63765540866617,0.4181094349704518,2024-07-23 13:10:00+00:00,2024-07-23 13:25:00+00:00,2024-07-23 13:30:00+00:00,2024-07-23 14:25:00+00:00,0.00541705358606,0.0250367132325735,continuation,0.8179892119389385,min_quota
AMZN_20241206_142500,AMZN,2024-12-06 14:25:00+00:00,-1,6,131.0016762560662,6.364010542928121,745.8532062838012,17.310637014060866,0.4041501383521913,2024-12-06 14:10:00+00:00,2024-12-06 14:25:00+00:00,2024-12-06 14:30:00+00:00,2024-12-06 15:25:00+00:00,-0.0040149772183876,0.0169625871908687,reversal,0.8177267974605094,min_quota
AMZN_20250731_200000,AMZN,2025-07-31 20:00:00+00:00,-1,26,367.0092085946841,5.808260740920028,3.738253848626827,23.53804711361922,19.38755162878881,2025-07-31 19:45:00+00:00,2025-07-31 20:00:00+00:00,2025-07-31 20:05:00+00:00,2025-07-31 21:00:00+00:00,-0.0059254589127374,-0.0139027634740817,continuation,0.8172543209226311,min_quota
AMZN_20251010_144500,AMZN,2025-10-10 14:45:00+00:00,1,14,212.99082727112676,6.289608865488336,359.9901976284585,18.164347688698168,0.2976773810863627,2025-10-10 14:30:00+00:00,2025-10-10 14:45:00+00:00,2025-10-10 14:50:00+00:00,2025-10-10 15:45:00+00:00,0.0031602549390017,-0.0273671242520239,reversal,0.8146215004297179,min_quota
AMZN_20241021_132500,AMZN,2024-10-21 13:25:00+00:00,-1,5,113.5687345022207,6.239060098013269,1011.1704871060172,36.84200280107475,0.379241024943743,2024-10-21 13:10:00+00:00,2024-10-21 13:25:00+00:00,2024-10-21 13:30:00+00:00,2024-10-21 14:25:00+00:00,-0.0036030307847187,0.004158468492422,reversal,0.8134333663169746,min_quota
AMZN_20250724_133000,AMZN,2025-07-24 13:30:00+00:00,1,11,126.97516930022525,6.898338997053322,1378.6670987254267,21.841169848077083,0.06283877937914,2025-07-24 13:15:00+00:00,2025-07-24 13:30:00+00:00,2025-07-24 13:35:00+00:00,2025-07-24 14:30:00+00:00,0.0034849276877504,0.0009550269143947,unclear,0.809508264579591,high_strength_unclear
AMZN_20250227_143000,AMZN,2025-02-27 14:30:00+00:00,1,9,234.7417840375532,5.982970456444342,400.1465414175918,9.852904213131444,0.1164314199354207,2025-02-27 14:15:00+00:00,2025-02-27 14:30:00+00:00,2025-02-27 14:35:00+00:00,2025-02-27 15:30:00+00:00,0.004545949364821,-0.0215820759030636,reversal,0.805403398816269,min_quota
